시간,이름,메시지
2024-11-18 16:47,민수,다음주 정기모임 장소를 정해야 할 것 같아요
2024-11-18 16:48,영희,저는 강남역 근처 스터디카페 추천해요
2024-11-18 16:49,철수,강남은 멀어서요... 홍대 쪽은 어떨까요?
2024-11-18 16:50,민수,그럼 투표로 정하죠. 제가 폼 만들어서 공유할게요
2024-11-18 16:52,영희,좋아요! 회비는 인당 얼마로 할까요?
2024-11-18 16:53,철수,지난번처럼 1만원이면 충분할 것 같아요
2024-11-18 16:55,수진,수진님이 들어왔습니다
2024-11-18 16:56,수진,안녕하세요! 신입 회원입니다 잘 부탁드려요
2024-11-18 16:57,민수,환영합니다 수진님 :)
2024-11-18 16:58,영희,모임 발표 자료는 누가 준비하나요?
2024-11-18 17:00,철수,제가 지난번에 했으니 이번엔 민수님이 어떠세요?
2024-11-18 17:01,민수,네 제가 할게요. 금요일까지 초안 공유하겠습니다
2024-11-18 17:03,수진,혹시 주차 가능한 곳인지도 확인 부탁드려요
2024-11-18 17:05,영희,그 부분은 아직 미정이라 장소 확정되면 알려드릴게요
